iter	RMSE
0	17.66925141
1	17.20013452
2	16.74249939
3	16.33260086
4	15.9511083
5	15.59222288
6	15.23864755
7	14.92679659
8	14.63584267
9	14.35852474
10	14.0923386
11	13.85059177
12	13.63523602
13	13.44077234
14	13.24762757
15	13.06233488
16	12.90752414
17	12.75462418
18	12.61589348
19	12.50305863
20	12.37939163
21	12.25926206
22	12.16038695
23	12.06851555
24	11.98082855
25	11.89676678
26	11.82102701
27	11.74690594
28	11.68496363
29	11.62676314
30	11.57481144
31	11.52237087
32	11.47947215
33	11.43532331
34	11.39376269
35	11.35521154
36	11.32190338
37	11.28431707
38	11.25326788
39	11.21985235
40	11.19174069
41	11.16069563
42	11.13462069
43	11.11022858
44	11.08722547
45	11.06746855
46	11.05006543
47	11.03310418
48	11.01506851
49	10.99860909
50	10.98452133
51	10.97089301
52	10.95682903
53	10.94392731
54	10.93251382
55	10.92090237
56	10.91108432
57	10.89989755
58	10.88918017
59	10.88116002
60	10.87221766
61	10.86533989
62	10.85688073
63	10.84944112
64	10.8429663
65	10.83621532
66	10.8280149
67	10.82243741
68	10.81613646
69	10.80940966
70	10.80339498
71	10.79556302
72	10.78864782
73	10.78367223
74	10.77952508
75	10.77337175
76	10.7691773
77	10.76417
78	10.75983454
79	10.75392406
80	10.75021314
81	10.74433521
82	10.73923861
83	10.73400435
84	10.72973577
85	10.72675428
86	10.72328755
87	10.71844425
88	10.71392126
89	10.70977998
90	10.70459236
91	10.70088188
92	10.69953232
93	10.69414777
94	10.69072405
95	10.68563393
96	10.68108173
97	10.67742389
98	10.67159914
99	10.67000767
100	10.6666182
101	10.66368919
102	10.65847168
103	10.65499599
104	10.64836384
105	10.64420314
106	10.64010192
107	10.63701053
108	10.63530936
109	10.63258615
110	10.62998804
111	10.62850182
112	10.62263077
113	10.61815956
114	10.614033
115	10.60997969
116	10.60623575
117	10.60388962
118	10.59913128
119	10.59440188
120	10.59029563
121	10.58455035
122	10.58289106
123	10.58133301
124	10.57695192
125	10.57115295
126	10.56889154
127	10.56738881
128	10.56450358
129	10.5615984
130	10.56047401
131	10.55830154
132	10.55577747
133	10.55113573
134	10.54616724
135	10.54438294
136	10.53906423
137	10.53453158
138	10.53198924
139	10.52915618
140	10.52747987
141	10.52195426
142	10.51884705
143	10.51539798
144	10.51340451
145	10.51128421
146	10.50976559
147	10.50869246
148	10.50597728
149	10.50283304
150	10.50040219
151	10.49593781
152	10.49293834
153	10.49147478
154	10.48781442
155	10.48410534
156	10.48148541
157	10.47715908
158	10.47239177
159	10.46847695
160	10.46576906
161	10.46166203
162	10.45457723
163	10.45090345
164	10.44579197
165	10.44022053
166	10.43691764
167	10.43235652
168	10.42980746
169	10.42657862
170	10.42271734
171	10.4176812
172	10.4142702
173	10.41064166
174	10.40655395
175	10.40080339
176	10.39624737
177	10.39195864
178	10.38750175
179	10.38498155
180	10.37847686
181	10.37496664
182	10.36893464
183	10.36451935
184	10.35996069
185	10.35676923
186	10.35425389
187	10.35094037
188	10.34454273
189	10.33843957
190	10.33466575
191	10.32990834
192	10.32620369
193	10.32216829
194	10.32016539
195	10.31519252
196	10.30970707
197	10.30608675
198	10.3022446
199	10.29692449
