Fecha;MP25;PM10;CO;NOX;NO2;NO;O3;SO2;TEMP_mean;TEMP_min;TEMP_max;RHUM_mean;WSPD_mean;WSPD_max
2020-02-11;23,0;77,0;;32,5986;18,54;14,0602;;;22,939670833333334;15,7503;29,95;54,98300416666667;1,2416663708333333;3,22659
2020-02-12;21,0;69,0;;28,0463;14,88;13,1676;;;22,115408333333335;16,0398;28,9333;55,709833333333336;1,3610022708333334;3,23223
2020-02-13;15,0;67,0;;20,4322;12,91;7,52437;;;22,178579166666665;15,6025;29,45;45,9557125;1,2980734166666668;2,7135
2020-02-14;24,0;84,0;;37,4432;23,18;14,2653;;;23,498079166666667;14,6583;31,9083;32,56995833333333;0,9333035791666666;2,70113
2020-02-15;19,0;70,0;;32,4485;19,32;13,1286;;;23,45895833333333;15,0011;32,4274;34,85263333333334;1,0795336916666667;2,82049
2020-02-16;16,0;53,0;;20,2305;13,18;7,04771;;;22,160016666666667;14,8417;30,2182;44,553866666666664;1,2275580458333335;3,33917
2020-02-17;10,0;46,0;0,36;18,5072;11,74;6,76812;;;20,448912500000002;11,6583;28,3667;53,11595833333334;1,28048925;2,58139
2020-02-18;14,0;70,0;0,45;35,4564;20,06;15,3997;;;24,3449;14,7333;33,9333;37,20182916666666;0,8857282958333333;3,10327
2020-02-19;18,0;77,0;0,44;39,1139;20,48;18,6378;;;24,513095833333335;15,5167;33,3917;34,644083333333334;0,9231356391666666;2,77062
2020-02-20;23,0;92,0;0,55;39,9515;23,64;16,3152;;;23,652283333333333;16,725;32,05;45,10834166666667;1,2672164375;3,38265
2020-02-21;19,0;75,0;0,39;26,0273;16,41;9,61781;;;19,897633333333335;13,8833;26,5957;62,480500000000006;1,4261325416666668;2,87229
2020-02-22;17,0;57,0;0,34;17,9641;12,08;5,88469;;;19,512729166666666;13,1033;26,6772;60,722987499999995;1,3253770833333334;2,81087
2020-02-23;15,0;51,0;0,36;14,0086;9,22;4,79156;;;19,401733333333333;12,4583;26,8738;60,2800125;1,4341129583333334;3,28399
2020-02-24;15,0;62,0;0,36;19,7321;12,9;6,82886;;;17,5418;11,0268;24,4;65,83635833333334;1,4726352083333334;3,32048
2020-02-25;17,0;74,0;0,44;29,3342;19,36;9,96957;;;21,294495833333333;12,3761;30,4917;50,979366666666664;0,8616321708333333;2,14094
2020-02-26;20,0;86,0;0,6;61,0348;26,28;34,7563;;;24,195020833333334;15,1253;33,7588;36,016133333333336;0,93927025;2,60643
2020-02-27;18,0;83,0;0,48;43,4657;22,25;21,2114;;;22,62099166666667;14,7;30,7196;35,877204166666665;1,0195752875;2,84166
2020-02-28;23,0;94,0;0,6;49,4974;25,25;24,2501;;;23,236695833333332;15,2917;32,1287;46,93225833333333;1,0004744541666668;3,27171
2020-02-29;25,0;83,0;0,7;38,9271;22,65;16,2751;;;23,039833333333334;16,4083;30,7094;53,06894166666667;1,0450461916666667;2,82524
2020-03-01;15,0;48,0;0,51;17,5699;13,12;4,44552;;;20,339970833333332;13,65;27,2;62,276575;1,290097925;2,96546
2020-03-02;17,0;67,0;0,74;35,7728;20,1;15,6701;;;21,207241666666665;14,3833;28,45;58,92690416666667;1,1277806541666666;3,13262
2020-03-03;21,0;78,0;;41,0712;21,88;19,1894;24,0;;21,902883333333335;14,3533;31,1167;57,864625;1,158622575;2,92235
2020-03-04;21,0;79,0;;38,912;20,46;18,4493;24,0;;22,484845833333335;13,7942;31,5167;55,1530875;0,9916464166666668;2,49231
2020-03-05;24,0;85,0;;55,987;28,68;27,3137;27,0;;24,8927;16,3786;34,2667;41,080841666666664;0,7679370708333333;2,46403
2020-03-06;22,0;88,0;;34,2836;20,98;13,3119;22,0;;22,818833333333334;16,625;29,5667;48,010783333333336;1,1762657291666667;3,21367
2020-03-07;19,0;73,0;;27,9981;18,86;9,13428;23,0;;22,704016666666664;15,142;30,8917;51,44880416666667;1,0267423666666666;2,72139
2020-03-08;13,0;48,0;;19,7861;11,79;8,00414;21,0;;23,473120833333336;15,8083;31,5667;51,61060416666666;0,916448575;2,57713
2020-03-09;19,0;68,0;;40,5066;22,01;18,4991;23,0;;24,454804166666666;16,3214;32,8333;44,21785;0,8664132375000001;2,45807
2020-03-10;20,0;89,0;;50,9839;25,18;25,8132;19,0;;23,337391666666665;15,6;31,4167;42,52148333333333;0,9436082666666668;2,75077
2020-03-11;19,0;83,0;;45,6096;22,94;22,6793;19,0;;23,5849;16,5768;31,7333;45,63385416666667;1,0083196041666667;2,56466
2020-03-12;13,0;62,0;;31,5584;17,52;14,034;18,0;;21,1715375;14,5252;28,3583;55,180929166666665;1,2146456791666667;3,05487
2020-03-13;11,0;59,0;;32,7739;15,03;17,7391;14,0;;20,871795833333334;13,9198;28,0167;59,337829166666666;1,109072975;2,59771
2020-03-14;12,0;58,0;;27,3519;15,31;12,0424;23,0;;22,100579166666666;14,7691;29,9333;51,28465416666666;0,911288875;2,45837
2020-03-15;13,0;55,0;;22,434;15,41;7,02021;27,0;;22,604120833333337;14,7768;30,8417;41,36262083333333;0,9439179916666666;2,72622
2020-03-16;;74,0;;33,1303;16,84;16,2963;18,0;;18,873291666666667;13,225;25,5833;51,924412499999995;1,32608715;2,97816
2020-03-17;;85,0;;33,8563;17,68;16,1833;21,0;;18,907675;11,9003;26,8333;59,38250416666667;0,9956154958333333;2,4036
2020-03-18;;84,0;;39,0678;19,44;19,6318;23,0;;20,065545833333335;12,7783;28,0417;52,6689375;0,9783628416666666;2,81577
2020-03-19;;87,0;;33,1926;18,79;14,4061;22,0;;19,825795833333334;11,8;28,6917;54,62207916666667;0,7795698125;2,49941
2020-03-20;;100,0;0,47;38,7205;19,45;19,2813;24,0;;18,878616666666666;12,1417;27,0167;58,77217916666667;1,0723714291666666;2,66776
2020-03-21;;52,0;0,34;13,201;8,87;4,33793;21,0;;14,652952916666665;9,73334;20,525;71,54654583333333;1,3287657916666666;2,50256
2020-03-22;;36,0;0,27;10,5815;6,67;3,915;25,0;;17,913120833333334;11,25;26,0;59,065779166666665;0,9000769166666668;2,06004
2020-03-23;;61,0;0,48;27,7563;14,76;13,0096;19,0;;19,805358333333334;10,9167;30,15;50,35876666666667;0,9191267291666666;2,87721
2020-03-24;;61,0;0,4;34,288;16,04;18,2504;15,0;;19,6827875;10,7091;28,7333;46,591145833333336;0,9270524375;2,96812
2020-03-25;;56,0;0,28;28,3753;13,27;15,1072;19,0;;20,224620833333333;12,95;28,1583;55,650637499999995;0,6885117583333332;1,76754
2020-03-26;;78,0;0,55;36,4877;17,29;19,1948;19,0;;19,142204166666666;12,875;26,2417;63,08699166666667;1,01010639;2,9564
2020-03-27;16,0;52,0;0,27;17,4312;11,86;5,58228;14,0;;15,460579166666667;12,1583;20,3818;82,5638;1,1561390416666668;2,45208
2020-03-28;22,0;69,0;0,43;17,9469;12,53;5,42062;19,0;;16,3277125;11,5833;22,3083;77,13350416666667;0,8386444208333333;2,44942
2020-03-29;20,0;60,0;0,34;16,6177;11,4;5,2224;29,0;;19,122970833333333;11,7025;27,1818;63,306129166666665;0,6344359495833333;2,27301
2020-03-30;23,0;83,0;0,53;31,9484;18,41;13,5423;28,0;;21,313158333333334;13,6833;30,0333;49,92541666666667;0,6740952024999999;2,5963
2020-03-31;18,0;87,0;0,4;41,3569;21,65;19,716;27,0;;20,845091666666665;13,05;28,9;46,02867083333334;0,7892701208333334;2,52977
2020-04-01;16,0;85,0;0,43;30,0503;20,38;9,67281;24,0;;19,889904166666668;12,5083;28,6167;42,615375;0,7004569374999999;2,02727
2020-04-02;19,0;101,0;0,51;49,0594;25,94;23,122;29,0;;21,286625;11,6917;33,2917;36,170745833333335;0,674592875;2,19528
2020-04-03;30,0;122,0;0,66;46,7721;25,36;21,4236;29,0;;18,622325;11,3358;26,6333;49,74738333333334;0,8396862;2,41916
2020-04-04;26,0;101,0;0,62;33,4849;20,07;13,4194;26,0;;18,041083333333333;11,9167;25,3083;58,863675;0,695867325;2,09739
2020-04-05;16,0;58,0;0,31;16,3271;11,61;4,72087;19,0;;17,7170625;11,2167;25,8167;58,93785416666666;0,8240985958333332;2,41097
2020-04-06;16,0;82,0;0,42;39,2163;23,87;15,3538;19,0;;19,7192625;11,21;29,2182;45,7398875;0,5796916041666668;2,15431
2020-04-07;17,0;91,0;0,46;48,5356;26,93;21,6167;22,0;;21,015754166666667;12,7417;30,5167;39,48719583333333;0,6057626500000001;2,42926
2020-04-08;26,0;109,0;0,65;33,6603;21,65;12,0203;23,0;;17,1632625;11,6667;23,9667;54,67401666666667;1,0630247791666667;2,71664
2020-04-09;25,0;87,0;0,35;20,4402;14,71;5,73344;24,0;;15,481954166666666;11,1417;22,3667;74,55495833333333;1,0320741666666666;2,2592
2020-04-10;21,0;64,0;0,54;13,0083;8,97;4,03531;24,0;;14,952795833333333;10,45;21,2667;76,2828375;0,9949214583333333;2,26356
2020-04-11;21,0;63,0;0,35;14,8886;10,42;4,465;22,0;;15,5623;10,6335;20,2801;73,15996249999999;0,7264433291666667;1,66838
2020-04-12;25,0;58,0;0,52;14,8648;10,81;4,05848;17,0;;14,539695833333333;13,05;18,6167;78,594875;0,6715154583333334;1,65243
2020-04-13;22,0;70,0;0,41;33,8213;23,09;10,7327;16,0;;16,358433333333334;11,0917;23,9583;61,55987083333333;0,5484933416666666;1,82905
2020-04-14;24,0;86,0;0,63;52,1967;24,14;28,066;24,0;;17,154079166666666;8,75833;26,5833;53,8242875;0,6097987416666667;2,0103
2020-04-15;27,0;86,0;0,43;32,6605;20,66;11,9966;27,0;;15,934049583333334;9,89999;22,875;53,1094125;0,7209780333333334;2,42864
2020-04-16;31,0;102,0;0,51;36,6245;24,56;12,0741;24,0;;16,121199583333333;8,63333;25,5667;64,42343749999999;0,5478373541666667;1,79435
2020-04-17;31,0;109,0;0,7;58,3753;33,01;25,3696;23,0;;18,3433375;10,0698;28,8;54,601954166666665;0,4706366208333333;2,22107
2020-04-18;23,0;81,0;0,7;38,5232;22,31;16,2254;22,0;;19,381154166666665;11,2274;28,3583;51,89384583333333;0,6135528875;1,88535
2020-04-19;17,0;59,0;0,55;24,3189;15,62;8,70116;23,0;;20,344354166666665;12,8183;28,6917;61,01815833333333;0,5249765275;1,82892
2020-04-20;18,0;82,0;0,63;41,9373;25,03;16,9179;15,0;;20,278554166666666;13,1009;29,5167;55,489725;0,550117225;2,14945
2020-04-21;18,0;95,0;0,7;55,3564;28,23;27,124;18,0;;20,389375;12,5001;29,4091;46,13955833333333;0,4756599458333333;1,99828
2020-04-22;26,0;110,0;0,52;41,2808;25,92;15,3695;21,0;;19,280695833333333;12,9333;26,7167;57,06707083333333;0,7054760708333333;1,91423
2020-04-23;23,0;74,0;0,52;28,5373;19,9;8,65012;10,0;;14,755716666666666;12,2417;18,475;81,15364583333333;0,9283807083333334;2,16435
2020-04-24;15,0;54,0;0,35;28,8886;15,06;13,833;8,0;;13,981808333333333;10,2433;16,9333;78,5490375;0,8022990916666667;1,77013
2020-04-25;17,0;56,0;0,54;33,6927;14,55;19,1547;13,0;;14,683787083333334;8,4424;22,1667;71,826575;0,4638470345833334;1,81825
